Order,Name,Kind,Gateway,Created At,Status,Amount,Currency,Card Type
5044614824047,#51261,capture,stripe,31-07-2023 00:05,success,27.39,USD,master
5044614791279,#51260,capture,stripe,31-07-2023 00:05,success,29.49,USD,visa
5044614791279,#51260,refund,stripe,31-07-2023 15:58,success,29.49,USD,visa
5044614758511,#51259,capture,stripe,31-07-2023 00:05,success,27.99,USD,visa
5044614725743,#51258,capture,stripe,31-07-2023 00:05,success,27.99,USD,discover
5044614692975,#51257,capture,shopify_payments,31-07-2023 00:05,success,26.79,USD,visa
5044614660207,#51256,capture,stripe,31-07-2023 00:05,success,29.95,USD,visa
5044614594671,#51255,sale,,31-07-2023 00:05,success,27.99,USD,
5044614627439,#51254,capture,shopify_payments,31-07-2023 00:05,success,29.49,USD,visa
5044614561903,#51253,capture,shopify_payments,31-07-2023 00:05,success,29.49,USD,visa
5044614529135,#51252,capture,stripe,31-07-2023 00:05,success,27.99,USD,visa
5044614496367,#51251,capture,stripe,31-07-2023 00:05,success,29.67,USD,master
5044614463599,#51250,capture,stripe,31-07-2023 00:05,success,29.67,USD,visa
5044614430831,#51249,capture,stripe,31-07-2023 00:05,success,27.99,USD,visa
5044614398063,#51248,capture,stripe,31-07-2023 00:05,success,27.99,USD,visa
5044614365295,#51247,capture,stripe,31-07-2023 00:05,success,30.02,USD,master
5044614332527,#51246,capture,shopify_payments,31-07-2023 00:05,success,34.8,USD,master
5044614266991,#51245,capture,stripe,31-07-2023 00:05,success,27.99,USD,discover
5044614234223,#51244,capture,stripe,31-07-2023 00:05,success,27.99,USD,discover
5044614201455,#51243,capture,stripe,31-07-2023 00:05,success,30.58,USD,visa
5044614168687,#51242,capture,stripe,31-07-2023 00:05,success,27.99,USD,master
5044614135919,#51241,capture,stripe,31-07-2023 00:05,success,27.99,USD,master
5044614103151,#51240,capture,stripe,31-07-2023 00:05,success,29.49,USD,master
5044614070383,#51239,capture,stripe,31-07-2023 00:05,success,27.99,USD,visa
5044614037615,#51238,capture,stripe,31-07-2023 00:05,success,30.16,USD,master
5044613972079,#51237,capture,stripe,31-07-2023 00:05,success,29.57,USD,discover
5044613906543,#51236,capture,stripe,31-07-2023 00:05,success,27.99,USD,visa
5044613873775,#51235,capture,stripe,31-07-2023 00:05,success,27.39,USD,master
5044613841007,#51234,capture,stripe,31-07-2023 00:05,success,29.56,USD,master
5044613808239,#51233,capture,stripe,31-07-2023 00:05,success,29.49,USD,visa
5044613775471,#51232,capture,stripe,31-07-2023 00:05,success,31.85,USD,discover
5044613742703,#51231,capture,stripe,31-07-2023 00:05,success,27.39,USD,visa
5044613709935,#51230,capture,stripe,31-07-2023 00:05,success,27.99,USD,visa
5044613677167,#51229,capture,stripe,31-07-2023 00:05,success,27.99,USD,visa
5044613644399,#51228,capture,stripe,31-07-2023 00:05,success,29.67,USD,visa
5044613611631,#51227,capture,stripe,31-07-2023 00:05,success,29.67,USD,master
5044613578863,#51226,capture,stripe,31-07-2023 00:05,success,29.67,USD,visa
5044613546095,#51225,capture,stripe,31-07-2023 00:05,success,29.49,USD,visa
5044613513327,#51224,capture,stripe,31-07-2023 00:05,success,29.99,USD,master
5044613480559,#51223,capture,stripe,31-07-2023 00:05,success,29.46,USD,visa
5044613447791,#51222,capture,stripe,31-07-2023 00:05,success,31.71,USD,visa
5044613415023,#51221,capture,stripe,31-07-2023 00:05,success,30.34,USD,discover
5044613382255,#51220,capture,stripe,31-07-2023 00:05,success,58.98,USD,american_express
5044613316719,#51219,capture,stripe,31-07-2023 00:05,success,27.99,USD,master
5044613283951,#51218,capture,stripe,31-07-2023 00:05,success,27.99,USD,visa
5044613251183,#51217,capture,stripe,31-07-2023 00:05,success,27.99,USD,visa
5044613185647,#51216,capture,stripe,31-07-2023 00:05,success,30.4,USD,visa
5044613152879,#51215,capture,stripe,31-07-2023 00:05,success,27.99,USD,visa
5044613120111,#51214,capture,stripe,31-07-2023 00:05,success,32.28,USD,master
5044613087343,#51213,capture,stripe,31-07-2023 00:05,success,29.78,USD,discover
5044613054575,#51212,capture,stripe,31-07-2023 00:05,success,55.98,USD,discover
5044613021807,#51211,capture,stripe,31-07-2023 00:05,success,27.99,USD,visa
5044612989039,#51210,capture,stripe,31-07-2023 00:05,success,30.12,USD,american_express
5044612956271,#51209,capture,stripe,31-07-2023 00:05,success,29.49,USD,visa
5044612923503,#51208,capture,stripe,31-07-2023 00:05,success,29.91,USD,master
5044612890735,#51207,capture,stripe,31-07-2023 00:05,success,27.99,USD,master
5044612857967,#51206,capture,stripe,31-07-2023 00:05,success,27.99,USD,visa
5044612825199,#51205,capture,stripe,31-07-2023 00:05,success,29.49,USD,visa
5044612792431,#51204,capture,stripe,31-07-2023 00:05,success,29.95,USD,visa
5044612759663,#51203,capture,stripe,31-07-2023 00:05,success,32.03,USD,master
5044612726895,#51202,capture,stripe,31-07-2023 00:05,success,27.99,USD,visa
5044612694127,#51201,capture,stripe,31-07-2023 00:05,success,29.49,USD,visa
5044480639087,#51200,capture,shopify_payments,30-07-2023 19:16,success,25.64,USD,visa
5044388200559,#51199,capture,shopify_payments,30-07-2023 16:03,success,31.33,USD,american_express
5044375126127,#51198,capture,shopify_payments,30-07-2023 15:37,success,31.55,USD,visa
5044337311855,#51197,capture,shopify_payments,30-07-2023 14:23,success,27.89,USD,visa
5044317159535,#51196,capture,shopify_payments,30-07-2023 13:49,success,31.55,USD,visa
5044313358447,#51195,capture,shopify_payments,30-07-2023 13:41,success,29.71,USD,master
5044304281711,#51194,capture,shopify_payments,30-07-2023 13:23,success,27.39,USD,american_express
5044297171055,#51193,capture,shopify_payments,30-07-2023 13:11,success,29.75,USD,visa
5044294353007,#51192,capture,shopify_payments,30-07-2023 13:06,success,29.42,USD,visa
5044282884207,#51191,capture,shopify_payments,30-07-2023 12:42,success,33.27,USD,visa
5044262994031,#51190,capture,shopify_payments,30-07-2023 12:02,success,25.19,USD,master
5044240515183,#51189,capture,shopify_payments,30-07-2023 11:11,success,31.33,USD,american_express
5044220723311,#51188,capture,shopify_payments,30-07-2023 10:34,success,26.54,USD,visa
5044205092975,#51187,capture,shopify_payments,30-07-2023 09:55,success,27.89,USD,visa
5044200669295,#51186,capture,shopify_payments,30-07-2023 09:44,success,33.12,USD,master
5044199161967,#51185,capture,shopify_payments,30-07-2023 09:41,success,27.39,USD,master
5044183302255,#51184,capture,shopify_payments,30-07-2023 09:07,success,30.99,USD,master
5044145389679,#51183,capture,shopify_payments,30-07-2023 07:20,success,32.36,USD,visa
5044120584303,#51182,capture,shopify_payments,30-07-2023 06:01,success,29.03,USD,visa
5043992494191,#51181,capture,shopify_payments,30-07-2023 01:35,success,33.94,USD,visa
5043982729327,#51180,capture,stripe,30-07-2023 01:04,success,29.53,USD,visa
5043982696559,#51179,capture,stripe,30-07-2023 01:04,success,29.49,USD,american_express
5043943211119,#51178,capture,stripe,30-07-2023 00:05,success,29.78,USD,visa
5043943178351,#51177,capture,stripe,30-07-2023 00:05,success,63.92,USD,master
5043943145583,#51176,capture,stripe,30-07-2023 00:05,success,29.49,USD,american_express
5043943112815,#51175,capture,stripe,30-07-2023 00:05,success,27.99,USD,visa
5043943080047,#51174,capture,stripe,30-07-2023 00:05,success,29.49,USD,visa
5043943014511,#51173,capture,stripe,30-07-2023 00:05,success,31.26,USD,visa
5043942981743,#51172,capture,stripe,30-07-2023 00:05,success,29.49,USD,visa
5043942948975,#51171,capture,stripe,30-07-2023 00:05,success,27.99,USD,master
5043942916207,#51170,capture,stripe,30-07-2023 00:05,success,29.49,USD,master
5043942883439,#51169,capture,stripe,30-07-2023 00:05,success,30.23,USD,visa
5043942850671,#51168,capture,stripe,30-07-2023 00:05,success,31.26,USD,visa
5043942817903,#51167,capture,stripe,30-07-2023 00:05,success,31.77,USD,visa
5043942785135,#51166,capture,stripe,30-07-2023 00:05,success,29.49,USD,visa
5043942719599,#51165,capture,stripe,30-07-2023 00:05,success,31.26,USD,visa
5043942686831,#51164,capture,shopify_payments,30-07-2023 00:05,success,63.11,USD,visa
5043942686831,#51164,refund,shopify_payments,31-07-2023 09:37,success,63.11,USD,visa
5043942654063,#51163,capture,stripe,30-07-2023 00:05,success,29.95,USD,master
5043942621295,#51162,capture,stripe,30-07-2023 00:05,success,29.88,USD,visa
5043942588527,#51161,capture,stripe,30-07-2023 00:05,success,27.99,USD,visa
5043942555759,#51160,capture,stripe,30-07-2023 00:05,success,29.99,USD,visa
5043942522991,#51159,capture,stripe,30-07-2023 00:05,success,27.99,USD,discover
5043942490223,#51158,capture,stripe,30-07-2023 00:05,success,22.99,USD,visa
5043942457455,#51157,capture,stripe,30-07-2023 00:05,success,31.71,USD,visa
5043942424687,#51156,capture,stripe,30-07-2023 00:05,success,27.66,USD,master
5043942391919,#51155,capture,stripe,30-07-2023 00:05,success,27.99,USD,discover
5043942359151,#51154,capture,stripe,30-07-2023 00:05,success,30.23,USD,visa
5043942326383,#51153,capture,shopify_payments,30-07-2023 00:05,success,29.49,USD,visa
5043942293615,#51152,capture,stripe,30-07-2023 00:05,success,29.67,USD,visa
5043942260847,#51151,capture,stripe,30-07-2023 00:05,success,29.31,USD,visa
5043942228079,#51150,capture,stripe,30-07-2023 00:05,success,29.49,USD,visa
5043942195311,#51149,capture,stripe,30-07-2023 00:05,success,29.67,USD,master
5043942162543,#51148,capture,stripe,30-07-2023 00:05,success,29.17,USD,master
5043942129775,#51147,capture,stripe,30-07-2023 00:05,success,31.26,USD,visa
5043942097007,#51146,capture,stripe,30-07-2023 00:05,success,30.44,USD,visa
5043942064239,#51145,capture,stripe,30-07-2023 00:05,success,27.99,USD,visa
5043942031471,#51143,capture,stripe,30-07-2023 00:05,success,29.31,USD,american_express
5043941998703,#51144,capture,stripe,30-07-2023 00:05,success,29.49,USD,visa
5043941965935,#51142,capture,stripe,30-07-2023 00:05,success,27.99,USD,visa
5043941933167,#51141,capture,stripe,30-07-2023 00:05,success,30.58,USD,visa
5043941900399,#51140,capture,stripe,30-07-2023 00:05,success,31.62,USD,visa
5043941867631,#51139,capture,stripe,30-07-2023 00:05,success,27.99,USD,visa
5043941834863,#51138,capture,stripe,30-07-2023 00:05,success,27.99,USD,visa
5043941802095,#51137,capture,stripe,30-07-2023 00:05,success,29.49,USD,visa
5043941769327,#51136,capture,stripe,30-07-2023 00:05,success,29.95,USD,visa
5043941736559,#51135,capture,stripe,30-07-2023 00:05,success,31.91,USD,american_express
5043941671023,#51134,capture,stripe,30-07-2023 00:05,success,56.54,USD,master
5043941638255,#51133,capture,stripe,30-07-2023 00:05,success,31.33,USD,visa
5043941605487,#51132,capture,stripe,30-07-2023 00:05,success,31.25,USD,discover
5043941572719,#51130,capture,stripe,30-07-2023 00:05,success,31.55,USD,master
5043941539951,#51131,capture,stripe,30-07-2023 00:05,success,31.55,USD,visa
5043941507183,#51129,capture,stripe,30-07-2023 00:05,success,31.55,USD,master
5043941474415,#51128,capture,stripe,30-07-2023 00:05,success,29.49,USD,visa
5043941441647,#51127,capture,stripe,30-07-2023 00:05,success,29.49,USD,visa
5043941408879,#51126,capture,stripe,30-07-2023 00:05,success,63.84,USD,visa
5043941376111,#51125,capture,stripe,30-07-2023 00:05,success,27.99,USD,master
5043941343343,#51124,capture,stripe,30-07-2023 00:05,success,29.7,USD,visa
5043941310575,#51123,capture,stripe,30-07-2023 00:05,success,29.49,USD,visa
5043941277807,#51122,capture,stripe,30-07-2023 00:05,success,29.39,USD,visa
5043941245039,#51121,capture,stripe,30-07-2023 00:05,success,31.88,USD,master
5043941179503,#51120,capture,stripe,30-07-2023 00:05,success,59.57,USD,visa
5043941212271,#51119,capture,stripe,30-07-2023 00:05,success,29.49,USD,visa
5043941146735,#51118,capture,stripe,30-07-2023 00:05,success,27.99,USD,master
5043941081199,#51117,capture,stripe,30-07-2023 00:05,success,31.55,USD,discover
5043940982895,#51116,capture,stripe,30-07-2023 00:05,success,29.46,USD,visa
5043940950127,#51115,capture,stripe,30-07-2023 00:05,success,31.33,USD,visa
5043940917359,#51114,capture,stripe,30-07-2023 00:05,success,29.67,USD,visa
5043901857903,#51113,capture,shopify_payments,29-07-2023 22:42,success,29.85,USD,discover
5043764035695,#51112,capture,shopify_payments,29-07-2023 19:05,success,26.54,USD,master
5043678740591,#51111,capture,shopify_payments,29-07-2023 16:55,success,31.26,USD,visa
5043644792943,#51110,capture,shopify_payments,29-07-2023 16:11,success,31.26,USD,visa
5043542687855,#51109,capture,shopify_payments,29-07-2023 14:07,success,79.73,USD,visa
5043523879023,#51108,capture,shopify_payments,29-07-2023 13:53,success,29.49,USD,visa
5043502776431,#51107,capture,shopify_payments,29-07-2023 13:36,success,31.43,USD,visa
5043404931183,#51106,capture,shopify_payments,29-07-2023 12:38,success,26.54,USD,visa
5043374719087,#51105,capture,shopify_payments,29-07-2023 12:14,success,29.49,USD,visa
5043367477359,#51104,capture,shopify_payments,29-07-2023 12:09,success,65.7,USD,visa
5043358236783,#51103,capture,shopify_payments,29-07-2023 12:05,success,32.73,USD,american_express
5043208683631,#51102,capture,shopify_payments,29-07-2023 10:55,success,27.89,USD,visa
5043170246767,#51101,capture,shopify_payments,29-07-2023 09:52,success,30.99,USD,visa
5043143377007,#51100,capture,shopify_payments,29-07-2023 09:02,success,26.63,USD,american_express
5043106840687,#51099,capture,shopify_payments,29-07-2023 07:50,success,66.16,USD,master
5042938314863,#51098,capture,stripe,29-07-2023 01:04,success,27.66,USD,visa
5042898796655,#51097,capture,stripe,29-07-2023 00:05,success,31.77,USD,american_express
5042898763887,#51096,capture,stripe,29-07-2023 00:05,success,29.53,USD,visa
5042898731119,#51095,capture,stripe,29-07-2023 00:05,success,31.77,USD,visa
5042898665583,#51094,capture,shopify_payments,29-07-2023 00:05,success,29.49,USD,discover
5042898632815,#51093,capture,stripe,29-07-2023 00:05,success,29.49,USD,master
5042898600047,#51092,capture,shopify_payments,29-07-2023 00:05,success,31.79,USD,master
5042898567279,#51091,capture,stripe,29-07-2023 00:05,success,29.49,USD,visa
5042898534511,#51090,capture,stripe,29-07-2023 00:04,success,27.99,USD,american_express
5042898501743,#51089,capture,stripe,29-07-2023 00:04,success,27.39,USD,discover
5042898468975,#51088,capture,stripe,29-07-2023 00:04,success,27.99,USD,american_express
5042898436207,#51087,capture,stripe,29-07-2023 00:04,success,29.49,USD,american_express
5042898403439,#51086,capture,stripe,29-07-2023 00:04,success,59.76,USD,master
5042898370671,#51085,capture,stripe,29-07-2023 00:04,success,27.99,USD,visa
5042898337903,#51084,capture,stripe,29-07-2023 00:04,success,31.59,USD,visa
5042898305135,#51083,capture,stripe,29-07-2023 00:04,success,27.39,USD,visa
5042898272367,#51082,capture,stripe,29-07-2023 00:04,success,31.71,USD,visa
5042898239599,#51081,capture,shopify_payments,29-07-2023 00:04,success,31.71,USD,master
5042898206831,#51080,capture,stripe,29-07-2023 00:04,success,29.49,USD,discover
5042898174063,#51079,capture,stripe,29-07-2023 00:04,success,27.99,USD,master
5042898141295,#51078,capture,stripe,29-07-2023 00:04,success,29.67,USD,visa
5042898108527,#51077,capture,stripe,29-07-2023 00:05,success,28.92,USD,visa
5042898075759,#51076,capture,stripe,29-07-2023 00:05,success,29.76,USD,discover
5042898042991,#51075,capture,stripe,29-07-2023 00:04,success,27.39,USD,american_express
5042898010223,#51074,capture,stripe,29-07-2023 00:04,success,32.36,USD,american_express
5042897977455,#51073,capture,stripe,29-07-2023 00:04,success,29.49,USD,visa
5042897944687,#51072,capture,stripe,29-07-2023 00:04,success,29.39,USD,master
5042897911919,#51071,capture,stripe,29-07-2023 00:04,success,29.49,USD,master
5042897879151,#51070,capture,stripe,29-07-2023 00:04,success,31.84,USD,visa
5042897846383,#51069,capture,stripe,29-07-2023 00:05,success,29.49,USD,visa
5042897813615,#51068,capture,stripe,29-07-2023 00:04,success,29.67,USD,visa
5042897780847,#51067,capture,stripe,29-07-2023 00:04,success,27.39,USD,visa
5042897748079,#51066,capture,stripe,29-07-2023 00:04,success,27.39,USD,visa
5042897715311,#51065,capture,stripe,29-07-2023 00:04,success,30.12,USD,discover
5042897682543,#51064,capture,stripe,29-07-2023 00:04,success,29.59,USD,visa
5042897649775,#51063,capture,stripe,29-07-2023 00:04,success,27.99,USD,visa
5042897617007,#51062,capture,stripe,29-07-2023 00:04,success,29.74,USD,visa
5042897584239,#51061,capture,stripe,29-07-2023 00:04,success,29.49,USD,master
5042897551471,#51060,capture,stripe,29-07-2023 00:04,success,29.3,USD,visa
5042897518703,#51059,capture,stripe,29-07-2023 00:04,success,31.33,USD,visa
5042897453167,#51058,capture,stripe,29-07-2023 00:04,success,30.58,USD,visa
5042897420399,#51057,capture,stripe,29-07-2023 00:04,success,62.52,USD,master
5042897387631,#51056,capture,stripe,29-07-2023 00:04,success,29.78,USD,visa
5042897354863,#51055,capture,stripe,29-07-2023 00:04,success,31.55,USD,visa
5042897322095,#51054,capture,stripe,29-07-2023 00:04,success,29.49,USD,master
5042897289327,#51053,capture,stripe,29-07-2023 00:04,success,27.97,USD,american_express
5042897256559,#51052,capture,stripe,29-07-2023 00:04,success,27.99,USD,visa
5042897223791,#51051,capture,stripe,29-07-2023 00:04,success,27.99,USD,visa
5042897191023,#51050,capture,stripe,29-07-2023 00:04,success,29.47,USD,visa
5042897158255,#51049,capture,stripe,29-07-2023 00:04,success,29.49,USD,visa
5042897125487,#51048,capture,stripe,29-07-2023 00:04,success,29.74,USD,visa
5042897092719,#51047,capture,stripe,29-07-2023 00:04,success,29.49,USD,visa
5042897059951,#51046,capture,stripe,29-07-2023 00:05,success,29.64,USD,visa
5042897027183,#51045,capture,stripe,29-07-2023 00:04,success,29.95,USD,visa
5042896994415,#51044,capture,stripe,29-07-2023 00:04,success,31.55,USD,visa
5042896961647,#51043,capture,stripe,29-07-2023 00:04,success,29.49,USD,master
5042896928879,#51042,capture,stripe,29-07-2023 00:04,success,29.88,USD,visa
5042896896111,#51041,capture,stripe,29-07-2023 00:04,success,62.52,USD,visa
5042896863343,#51040,capture,stripe,29-07-2023 00:04,success,59.06,USD,master
5042896797807,#51039,capture,stripe,29-07-2023 00:04,success,25.99,USD,visa
5042896765039,#51038,capture,stripe,29-07-2023 00:04,success,29.49,USD,visa
5042896732271,#51037,capture,stripe,29-07-2023 00:04,success,31.67,USD,discover
5042896699503,#51036,capture,stripe,29-07-2023 00:04,success,31.71,USD,master
5042896666735,#51035,capture,stripe,29-07-2023 00:04,success,62.96,USD,visa
5042896633967,#51034,capture,stripe,29-07-2023 00:04,success,29.67,USD,master
5042896601199,#51033,capture,stripe,29-07-2023 00:04,success,29.31,USD,visa
5042896568431,#51032,capture,stripe,29-07-2023 00:04,success,28.27,USD,discover
5042896535663,#51031,capture,stripe,29-07-2023 00:04,success,58.76,USD,visa
5042896502895,#51030,capture,stripe,29-07-2023 00:04,success,31.26,USD,visa
5042896470127,#51029,capture,stripe,29-07-2023 00:04,success,31.17,USD,master
5042896437359,#51028,capture,stripe,29-07-2023 00:04,success,29.3,USD,visa
5042896404591,#51027,capture,stripe,29-07-2023 00:04,success,30.02,USD,visa
5042896371823,#51026,capture,stripe,29-07-2023 00:04,success,31.67,USD,visa
5042896339055,#51025,capture,stripe,29-07-2023 00:04,success,29.67,USD,visa
5042896306287,#51024,capture,stripe,29-07-2023 00:04,success,27.39,USD,master
5042896273519,#51023,capture,stripe,29-07-2023 00:04,success,27.99,USD,visa
5042896240751,#51022,capture,stripe,29-07-2023 00:04,success,30.74,USD,discover
5042896207983,#51021,capture,stripe,29-07-2023 00:04,success,28.27,USD,discover
5042711232623,#51020,capture,shopify_payments,28-07-2023 18:43,success,58.9,USD,master
5042689966191,#51019,capture,shopify_payments,28-07-2023 18:13,success,33.27,USD,visa
5042680922223,#51018,capture,shopify_payments,28-07-2023 18:02,success,33.53,USD,visa
5042666405999,#51017,capture,shopify_payments,28-07-2023 17:43,success,25.54,USD,master
5042644615279,#51016,capture,shopify_payments,28-07-2023 17:15,success,27.01,USD,master
5042637766767,#51015,capture,shopify_payments,28-07-2023 17:07,success,31.55,USD,visa
5042624987247,#51014,capture,shopify_payments,28-07-2023 16:53,success,29.49,USD,visa
5042606833775,#51013,capture,shopify_payments,28-07-2023 16:36,success,35.2,USD,discover
5042558861423,#51012,sale,manual,28-07-2023 15:54,success,33.31,USD,
5042549850223,#51011,capture,shopify_payments,28-07-2023 15:45,success,30.38,USD,visa
5042548375663,#51010,capture,shopify_payments,28-07-2023 15:44,success,58.01,USD,visa
5042541690991,#51009,capture,shopify_payments,28-07-2023 15:38,success,28.4,USD,visa
5042536972399,#51008,capture,shopify_payments,28-07-2023 15:34,success,50.38,USD,visa
5042526716015,#51007,sale,manual,28-07-2023 15:25,success,30.99,USD,
5042509742191,#51006,capture,shopify_payments,28-07-2023 15:13,success,33.47,USD,master
5042503090287,#51004,capture,shopify_payments,28-07-2023 15:06,success,30.99,USD,visa
5042399576175,#51003,capture,shopify_payments,28-07-2023 13:57,success,26.54,USD,master
5042394759279,#51002,capture,shopify_payments,28-07-2023 13:54,success,33.58,USD,visa
5042364547183,#51001,capture,shopify_payments,28-07-2023 13:32,success,63.92,USD,visa
5042261065839,#51000,capture,shopify_payments,28-07-2023 12:26,success,30.48,USD,visa
5042258346095,#50999,capture,shopify_payments,28-07-2023 12:24,success,28.34,USD,master
5042243731567,#50998,capture,shopify_payments,28-07-2023 12:11,success,30.99,USD,master
5042194448495,#50997,capture,shopify_payments,28-07-2023 11:32,success,31.63,USD,master
5042178392175,#50996,capture,shopify_payments,28-07-2023 11:23,success,30.82,USD,visa
5042143756399,#50995,capture,shopify_payments,28-07-2023 10:27,success,30.99,USD,visa
5042107482223,#50994,capture,shopify_payments,28-07-2023 09:16,success,32.93,USD,visa
5042107482223,#50994,refund,shopify_payments,28-07-2023 09:25,success,32.93,USD,visa
5042074550383,#50993,capture,shopify_payments,28-07-2023 08:05,success,28.4,USD,visa
5042049220719,#50992,capture,shopify_payments,28-07-2023 06:51,success,29.49,USD,visa
5041853431919,#50991,capture,stripe,28-07-2023 00:06,success,27.99,USD,master
5041853399151,#50990,capture,stripe,28-07-2023 00:06,success,32.13,USD,visa
5041853366383,#50989,capture,stripe,28-07-2023 00:06,success,29.47,USD,master
5041853333615,#50988,capture,stripe,28-07-2023 00:06,success,27.99,USD,discover
5041853300847,#50987,capture,shopify_payments,28-07-2023 00:06,success,26.06,USD,visa
5041853268079,#50986,capture,stripe,28-07-2023 00:06,success,31.82,USD,master
5041853235311,#50985,capture,stripe,28-07-2023 00:06,success,63.11,USD,master
5041853235311,#50985,refund,stripe,31-07-2023 09:08,success,63.11,USD,master
5041853202543,#50984,capture,stripe,28-07-2023 00:06,success,27.99,USD,visa
